"error_severity","event_message","id","identifier","timestamp"
"LOG","connection authenticated: identity="supabase_admin" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)","e8c3f30a-609d-44ee-aa2c-c78c05d00fb8","oinjrlzucizztdstagqg","1737266163262000"
"LOG","connection authorized: user=supabase_admin database=postgres SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)","6008961c-2c6f-4de2-86b9-fb3c3319ea0c","oinjrlzucizztdstagqg","1737266163262000"
"LOG","connection received: host=2600:1f18:2a66:6e00:66a4:bec5:6a77:7ce4 port=52896","22240631-0f54-41be-a51a-d81f725a126c","oinjrlzucizztdstagqg","1737266163249000"
"LOG","connection received: host=2600:1f18:2a66:6e01:5b92:65a7:45f2:118e port=47858","68886ef5-9571-458c-b06e-fd3261796e19","oinjrlzucizztdstagqg","1737266163216000"
"LOG","connection received: host=2600:1f18:2a66:6e00:66a4:bec5:6a77:7ce4 port=52886","9a2e433f-1362-4046-b5b6-29116a061d05","oinjrlzucizztdstagqg","1737266163215000"
"LOG","connection received: host=2600:1f18:2a66:6e01:5b92:65a7:45f2:118e port=47844","65353574-3fb7-44b3-909e-ff3a5319d48d","oinjrlzucizztdstagqg","1737266163208000"
"LOG","connection received: host=2600:1f18:2a66:6e00:66a4:bec5:6a77:7ce4 port=52878","671293df-4d25-4cfb-b99c-07b14e88cdf0","oinjrlzucizztdstagqg","1737266163176000"
"LOG","connection authorized: user=supabase_admin database=postgres application_name=postgres_exporter","20f989ef-899e-47bb-96f1-8025d980eb77","oinjrlzucizztdstagqg","1737266150879000"
"LOG","connection authorized: user=authenticator database=postgres application_name=postgrest SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)","002d9923-0268-4bba-a0c4-0029ddb45c15","oinjrlzucizztdstagqg","1737266147112000"
"LOG","connection authorized: user=supabase_auth_admin database=postgres","930a027a-4d94-435c-92f8-95414fe13e84","oinjrlzucizztdstagqg","1737266146867000"
"LOG","connection received: host=127.0.0.1 port=58381","dc656d91-61d4-4a02-99d0-29666778b1aa","oinjrlzucizztdstagqg","1737266146866000"
"LOG","connection authorized: user=supabase_admin database=postgres application_name=postgres_exporter","9a3f9196-ad23-4d32-99bc-375f957e9601","oinjrlzucizztdstagqg","1737266090878000"
"LOG","connection received: host=::1 port=18257","1a43ef74-7eb6-495c-8d8a-409a86a33887","oinjrlzucizztdstagqg","1737266090877000"
"LOG","connection authorized: user=supabase_admin database=postgres application_name=postgres_exporter","6b9d09e8-50b2-4b70-ad1c-3a936c8d6684","oinjrlzucizztdstagqg","1737266030886000"
"LOG","connection received: host=::1 port=34159","a2ff1681-446a-482c-a1c1-9d6a7917df56","oinjrlzucizztdstagqg","1737266030885000"
"LOG","connection authorized: user=supabase_admin database=postgres application_name=postgres_exporter","cc7e1f91-4572-4be6-98c0-fc2c265ed45f","oinjrlzucizztdstagqg","1737265970879000"
"LOG","connection received: host=::1 port=29163","de4253be-b0f2-470b-af0d-7a054536ad91","oinjrlzucizztdstagqg","1737265970878000"
"LOG","connection authorized: user=supabase_admin database=postgres application_name=postgres_exporter","1b97a303-2149-4967-bb08-9f77c793ff65","oinjrlzucizztdstagqg","1737265910879000"
"LOG","connection received: host=::1 port=50809","17235f00-6680-4fd8-9783-28a08927c24f","oinjrlzucizztdstagqg","1737265910878000"
"LOG","checkpoint complete: wrote 22 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=2.109 s, sync=0.003 s, total=2.120 s; sync files=22, longest=0.002 s, average=0.001 s; distance=73 kB, estimate=548 kB","c4a9a7d2-ca04-4529-b547-3e409c7fff80","oinjrlzucizztdstagqg","1737265882203000"
"LOG","checkpoint starting: time","a4616ace-cc2c-4b7f-8346-2812a38577b3","oinjrlzucizztdstagqg","1737265880084000"
"LOG","connection authorized: user=supabase_admin database=postgres application_name=postgres_exporter","1807710f-1448-4d78-bf37-96f162e62e62","oinjrlzucizztdstagqg","1737265850879000"
"LOG","connection received: host=::1 port=55483","efad3eb3-1ff1-44c5-911c-2302069e81a5","oinjrlzucizztdstagqg","1737265850878000"
"LOG","connection authorized: user=authenticator database=postgres application_name=postgrest SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)","a1bb876f-eaa6-4726-ae7a-0cc669a304b2","oinjrlzucizztdstagqg","1737265836925000"
"LOG","connection received: host=127.0.0.1 port=8661","e5efabf7-56e7-49eb-a405-809f6c1dc1dc","oinjrlzucizztdstagqg","1737265836695000"
"LOG","connection authorized: user=supabase_auth_admin database=postgres","2706f01c-4777-418c-a200-62ef61e2e34c","oinjrlzucizztdstagqg","1737265836695000"
"LOG","connection received: host=::1 port=35503","d3fb9b6c-1092-4c95-bc42-a1b4093e7d1c","oinjrlzucizztdstagqg","1737265790878000"
"LOG","connection authorized: user=supabase_admin database=postgres application_name=postgres_exporter","b61e0ddc-590b-4df2-a41e-3fe0f69d8137","oinjrlzucizztdstagqg","1737265790878000"
"LOG","connection received: host=::1 port=59959","ef89fa49-39db-470a-a00d-8652dbdb07d5","oinjrlzucizztdstagqg","1737265730878000"
